,value,percentage,datetime,COD-CCAA
0,2744878.748,1,2019-01-01T00:00:00.000+01:00,13
1,2356460.794,1,2019-02-01T00:00:00.000+01:00,13
2,2350064.364,1,2019-03-01T00:00:00.000+01:00,13
3,2217591.032,1,2019-04-01T00:00:00.000+02:00,13
4,2149296.957,1,2019-05-01T00:00:00.000+02:00,13
5,2281728.415,1,2019-06-01T00:00:00.000+02:00,13
6,2651654.285,1,2019-07-01T00:00:00.000+02:00,13
7,2274433.692,1,2019-08-01T00:00:00.000+02:00,13
8,2149610.628,1,2019-09-01T00:00:00.000+02:00,13
9,2267264.364,1,2019-10-01T00:00:00.000+02:00,13
10,2467031.06,1,2019-11-01T00:00:00.000+01:00,13
11,2545189.886,1,2019-12-01T00:00:00.000+01:00,13
