,value,percentage,datetime,COD-CCAA
0,463542.521,1,2019-01-01T00:00:00.000+01:00,14
1,412888.134,1,2019-02-01T00:00:00.000+01:00,14
2,439192.257,1,2019-03-01T00:00:00.000+01:00,14
3,409324.995,1,2019-04-01T00:00:00.000+02:00,14
4,439674.461,1,2019-05-01T00:00:00.000+02:00,14
5,431270.896,1,2019-06-01T00:00:00.000+02:00,14
6,425913.131,1,2019-07-01T00:00:00.000+02:00,14
7,403832.721,1,2019-08-01T00:00:00.000+02:00,14
8,424695.647,1,2019-09-01T00:00:00.000+02:00,14
9,448901.458,1,2019-10-01T00:00:00.000+02:00,14
10,441644.372,1,2019-11-01T00:00:00.000+01:00,14
11,408815.515,1,2019-12-01T00:00:00.000+01:00,14
