,value,percentage,datetime,type,COD-CCAA
0,304809.796,0.40673228760965746,2021-01-01T00:00:00.000+01:00,Hidráulica,9
1,281952.551,0.5026822109896987,2021-02-01T00:00:00.000+01:00,Hidráulica,9
2,313921.572,0.5230069430540039,2021-03-01T00:00:00.000+01:00,Hidráulica,9
3,306887.187,0.5735554858245688,2021-04-01T00:00:00.000+02:00,Hidráulica,9
4,424622.167,0.6032719323835264,2021-05-01T00:00:00.000+02:00,Hidráulica,9
5,396508.174,0.6365554378083379,2021-06-01T00:00:00.000+02:00,Hidráulica,9
6,256177.832,0.4587810959571187,2021-07-01T00:00:00.000+02:00,Hidráulica,9
7,240942.055,0.49541769069216635,2021-08-01T00:00:00.000+02:00,Hidráulica,9
8,224538.47,0.5355847781422914,2021-09-01T00:00:00.000+02:00,Hidráulica,9
9,172299.286,0.47392890019035666,2021-10-01T00:00:00.000+02:00,Hidráulica,9
10,141040.659,0.2791354353856557,2021-11-01T00:00:00.000+01:00,Hidráulica,9
11,317869.122,0.4727084417215154,2021-12-01T00:00:00.000+01:00,Hidráulica,9
0,393973.253,0.5257102775322495,2021-01-01T00:00:00.000+01:00,Eólica,9
1,231861.484,0.4133768004832581,2021-02-01T00:00:00.000+01:00,Eólica,9
2,221698.637,0.36935953677184463,2021-03-01T00:00:00.000+01:00,Eólica,9
3,162255.465,0.30324665218351504,2021-04-01T00:00:00.000+02:00,Eólica,9
4,203431.583,0.2890206252097285,2021-05-01T00:00:00.000+02:00,Eólica,9
5,151007.973,0.24242866268266308,2021-06-01T00:00:00.000+02:00,Eólica,9
6,222029.968,0.39762672382348835,2021-07-01T00:00:00.000+02:00,Eólica,9
7,171972.542,0.35360468565814124,2021-08-01T00:00:00.000+02:00,Eólica,9
8,130254.146,0.31069124986699886,2021-09-01T00:00:00.000+02:00,Eólica,9
9,125566.86,0.34538601547168624,2021-10-01T00:00:00.000+02:00,Eólica,9
10,313649.077,0.6207470405161964,2021-11-01T00:00:00.000+01:00,Eólica,9
11,306349.158,0.45557691225157226,2021-12-01T00:00:00.000+01:00,Eólica,9
0,19291.117,0.025741692855421064,2021-01-01T00:00:00.000+01:00,Solar fotovoltaica,9
1,19914.449,0.035504694738376724,2021-02-01T00:00:00.000+01:00,Solar fotovoltaica,9
2,35125.996,0.058521431555800085,2021-03-01T00:00:00.000+01:00,Solar fotovoltaica,9
3,33403.295,0.06242894426174395,2021-04-01T00:00:00.000+02:00,Solar fotovoltaica,9
4,43464.383,0.06175099738084963,2021-05-01T00:00:00.000+02:00,Solar fotovoltaica,9
5,41692.932,0.06693396081860664,2021-06-01T00:00:00.000+02:00,Solar fotovoltaica,9
6,46367.863,0.08303879706628765,2021-07-01T00:00:00.000+02:00,Solar fotovoltaica,9
7,40925.991,0.08415077206222212,2021-08-01T00:00:00.000+02:00,Solar fotovoltaica,9
8,31712.706,0.07564335237209781,2021-09-01T00:00:00.000+02:00,Solar fotovoltaica,9
9,30396.481,0.08360899887877117,2021-10-01T00:00:00.000+02:00,Solar fotovoltaica,9
10,20273.577,0.040123704631297955,2021-11-01T00:00:00.000+01:00,Solar fotovoltaica,9
11,16719.041,0.024863163079388777,2021-12-01T00:00:00.000+01:00,Solar fotovoltaica,9
0,5151.617,0.006874217937860505,2021-01-01T00:00:00.000+01:00,Solar térmica,9
1,4460.225,0.00795196126638886,2021-02-01T00:00:00.000+01:00,Solar térmica,9
2,7944.003,0.01323505325923201,2021-03-01T00:00:00.000+01:00,Solar térmica,9
3,6473.49,0.012098601242450987,2021-04-01T00:00:00.000+02:00,Solar térmica,9
4,6657.92,0.009459082865202674,2021-05-01T00:00:00.000+02:00,Solar térmica,9
5,9631.26,0.015462054323111969,2021-06-01T00:00:00.000+02:00,Solar térmica,9
6,9023.407,0.01615974544092143,2021-07-01T00:00:00.000+02:00,Solar térmica,9
7,9704.384,0.019953857830547712,2021-08-01T00:00:00.000+02:00,Solar térmica,9
8,8364.173,0.019950807273910545,2021-09-01T00:00:00.000+02:00,Solar térmica,9
9,8961.755,0.024650332508780272,2021-10-01T00:00:00.000+02:00,Solar térmica,9
10,6788.279,0.013434772835146094,2021-11-01T00:00:00.000+01:00,Solar térmica,9
11,4233.212,0.006295279753523275,2021-12-01T00:00:00.000+01:00,Solar térmica,9
0,13330.861,0.01778844269931655,2021-01-01T00:00:00.000+01:00,Otras renovables,9
1,12206.882,0.021763174020902387,2021-02-01T00:00:00.000+01:00,Otras renovables,9
2,14986.555,0.02496825008719279,2021-03-01T00:00:00.000+01:00,Otras renovables,9
3,14087.915,0.026329548037077977,2021-04-01T00:00:00.000+02:00,Otras renovables,9
4,12137.501,0.01724406837803403,2021-05-01T00:00:00.000+02:00,Otras renovables,9
5,11316.538,0.018167604789566565,2021-06-01T00:00:00.000+02:00,Otras renovables,9
