,value,percentage,datetime,type,COD-CCAA
0,1150910.25,0.4647767381308631,2020-01-01T00:00:00.000+01:00,Hidráulica,8
1,791605.827,0.4172246904364876,2020-02-01T00:00:00.000+01:00,Hidráulica,8
2,549093.805,0.2707668302162797,2020-03-01T00:00:00.000+01:00,Hidráulica,8
3,722562.473,0.4514352639598731,2020-04-01T00:00:00.000+02:00,Hidráulica,8
4,573872.776,0.37414256818003533,2020-05-01T00:00:00.000+02:00,Hidráulica,8
5,414579.573,0.32106615537694844,2020-06-01T00:00:00.000+02:00,Hidráulica,8
6,401794.023,0.2744095327410564,2020-07-01T00:00:00.000+02:00,Hidráulica,8
7,678064.64,0.428118073555623,2020-08-01T00:00:00.000+02:00,Hidráulica,8
8,498813.313,0.32830680854599864,2020-09-01T00:00:00.000+02:00,Hidráulica,8
9,600696.52,0.28362653477672156,2020-10-01T00:00:00.000+02:00,Hidráulica,8
10,860679.118,0.4441913055116135,2020-11-01T00:00:00.000+01:00,Hidráulica,8
11,793402.037,0.29422357853117415,2020-12-01T00:00:00.000+01:00,Hidráulica,8
0,1264624.624,0.5106984734063228,2020-01-01T00:00:00.000+01:00,Eólica,8
1,999361.437,0.5267246045505529,2020-02-01T00:00:00.000+01:00,Eólica,8
2,1362043.934,0.6716453823850582,2020-03-01T00:00:00.000+01:00,Eólica,8
3,778150.173,0.4861647841883921,2020-04-01T00:00:00.000+02:00,Eólica,8
4,799915.256,0.521513409805365,2020-05-01T00:00:00.000+02:00,Eólica,8
5,705226.295,0.5461540074633143,2020-06-01T00:00:00.000+02:00,Eólica,8
6,862085.46,0.5887705011019008,2020-07-01T00:00:00.000+02:00,Eólica,8
7,748195.029,0.47239716623384675,2020-08-01T00:00:00.000+02:00,Eólica,8
8,865353.853,0.5695548902509209,2020-09-01T00:00:00.000+02:00,Eólica,8
9,1384592.364,0.6537529704344368,2020-10-01T00:00:00.000+02:00,Eólica,8
10,1000035.773,0.5161124352585786,2020-11-01T00:00:00.000+01:00,Eólica,8
11,1806458.153,0.6699032236571826,2020-12-01T00:00:00.000+01:00,Eólica,8
0,38982.897,0.0157426208607938,2020-01-01T00:00:00.000+01:00,Solar fotovoltaica,8
1,76383.199,0.0402586179514361,2020-02-01T00:00:00.000+01:00,Solar fotovoltaica,8
2,89462.673,0.04411545745063641,2020-03-01T00:00:00.000+01:00,Solar fotovoltaica,8
3,84007.859,0.052485579336707125,2020-04-01T00:00:00.000+02:00,Solar fotovoltaica,8
4,122611.728,0.07993804327618417,2020-05-01T00:00:00.000+02:00,Solar fotovoltaica,8
5,125719.417,0.09736188780439835,2020-06-01T00:00:00.000+02:00,Solar fotovoltaica,8
6,149627.031,0.10218938389270553,2020-07-01T00:00:00.000+02:00,Solar fotovoltaica,8
7,133562.835,0.08432922209131496,2020-08-01T00:00:00.000+02:00,Solar fotovoltaica,8
8,114774.156,0.0755415620992469,2020-09-01T00:00:00.000+02:00,Solar fotovoltaica,8
9,86940.005,0.04104983386889081,2020-10-01T00:00:00.000+02:00,Solar fotovoltaica,8
10,52719.204,0.0272080634472801,2020-11-01T00:00:00.000+01:00,Solar fotovoltaica,8
11,42567.867,0.015785780191006838,2020-12-01T00:00:00.000+01:00,Solar fotovoltaica,8
0,21746.972,0.008782167602020413,2020-01-01T00:00:00.000+01:00,Otras renovables,8
1,29962.532,0.015792087061523553,2020-02-01T00:00:00.000+01:00,Otras renovables,8
2,27320.824,0.013472329948025654,2020-03-01T00:00:00.000+01:00,Otras renovables,8
3,15868.839,0.009914372515027815,2020-04-01T00:00:00.000+02:00,Otras renovables,8
4,37434.732,0.024405978738415275,2020-05-01T00:00:00.000+02:00,Otras renovables,8
5,45733.747,0.03541794935533896,2020-06-01T00:00:00.000+02:00,Otras renovables,8
6,50706.551,0.03463058226433733,2020-07-01T00:00:00.000+02:00,Otras renovables,8
7,24003.739,0.015155538119215266,2020-08-01T00:00:00.000+02:00,Otras renovables,8
8,40409.785,0.02659673910383376,2020-09-01T00:00:00.000+02:00,Otras renovables,8
9,45684.798,0.02157066091995089,2020-10-01T00:00:00.000+02:00,Otras renovables,8
10,24197.523,0.01248819578252774,2020-11-01T00:00:00.000+01:00,Otras renovables,8
11,54167.644,0.020087417620636486,2020-12-01T00:00:00.000+01:00,Otras renovables,8
0,2476264.743,1.0,2020-01-01T00:00:00.000+01:00,Generación renovable,8
1,1897312.9949999999,1.0,2020-02-01T00:00:00.000+01:00,Generación renovable,8
2,2027921.236,1.0,2020-03-01T00:00:00.000+01:00,Generación renovable,8
3,1600589.3439999998,1.0,2020-04-01T00:00:00.000+02:00,Generación renovable,8
4,1533834.4920000003,1.0,2020-05-01T00:00:00.000+02:00,Generación renovable,8
5,1291259.032,1.0,2020-06-01T00:00:00.000+02:00,Generación renovable,8
6,1464213.065,1.0,2020-07-01T00:00:00.000+02:00,Generación renovable,8
7,1583826.243,1.0,2020-08-01T00:00:00.000+02:00,Generación renovable,8
8,1519351.1069999998,1.0,2020-09-01T00:00:00.000+02:00,Generación renovable,8
9,2117913.687,1.0,2020-10-01T00:00:00.000+02:00,Generación renovable,8
10,1937631.618,1.0,2020-11-01T00:00:00.000+01:00,Generación renovable,8
11,2696595.701,1.0,2020-12-01T00:00:00.000+01:00,Generación renovable,8
