,value,percentage,datetime,type,COD-CCAA
0,4.709,0.04312705492311496,2020-01-01T00:00:00.000+01:00,Solar fotovoltaica,8745
1,5.41,0.013533678471319734,2020-02-01T00:00:00.000+01:00,Solar fotovoltaica,8745
2,6.338,0.011500770740355312,2020-03-01T00:00:00.000+01:00,Solar fotovoltaica,8745
3,5.699,0.011687211741761632,2020-04-01T00:00:00.000+02:00,Solar fotovoltaica,8745
4,8.014,0.01596016928055763,2020-05-01T00:00:00.000+02:00,Solar fotovoltaica,8745
5,8.75,0.015969003707546402,2020-06-01T00:00:00.000+02:00,Solar fotovoltaica,8745
6,7.909,0.014370254354773942,2020-07-01T00:00:00.000+02:00,Solar fotovoltaica,8745
7,8.19,0.015613978228128034,2020-08-01T00:00:00.000+02:00,Solar fotovoltaica,8745
8,6.833,0.013145630227446529,2020-09-01T00:00:00.000+02:00,Solar fotovoltaica,8745
9,6.295,0.010807989499338559,2020-10-01T00:00:00.000+02:00,Solar fotovoltaica,8745
10,4.727,0.009022473153990924,2020-11-01T00:00:00.000+01:00,Solar fotovoltaica,8745
11,3.833,0.012629366159361315,2020-12-01T00:00:00.000+01:00,Solar fotovoltaica,8745
0,104.48,0.956872945076885,2020-01-01T00:00:00.000+01:00,Residuos renovables,8745
1,394.3335,0.9864663215286802,2020-02-01T00:00:00.000+01:00,Residuos renovables,8745
2,544.7555,0.9884992292596447,2020-03-01T00:00:00.000+01:00,Residuos renovables,8745
3,481.928,0.9883127882582383,2020-04-01T00:00:00.000+02:00,Residuos renovables,8745
4,494.111,0.9840398307194423,2020-05-01T00:00:00.000+02:00,Residuos renovables,8745
5,539.1865,0.9840309962924536,2020-06-01T00:00:00.000+02:00,Residuos renovables,8745
6,542.464,0.9856297456452261,2020-07-01T00:00:00.000+02:00,Residuos renovables,8745
7,516.34,0.9843860217718718,2020-08-01T00:00:00.000+02:00,Residuos renovables,8745
8,512.9595,0.9868543697725535,2020-09-01T00:00:00.000+02:00,Residuos renovables,8745
9,576.1445,0.9891920105006615,2020-10-01T00:00:00.000+02:00,Residuos renovables,8745
10,519.187,0.9909775268460091,2020-11-01T00:00:00.000+01:00,Residuos renovables,8745
11,299.666,0.9873706338406386,2020-12-01T00:00:00.000+01:00,Residuos renovables,8745
0,109.18900000000001,1.0,2020-01-01T00:00:00.000+01:00,Generación renovable,8745
1,399.74350000000004,1.0,2020-02-01T00:00:00.000+01:00,Generación renovable,8745
2,551.0935,1.0,2020-03-01T00:00:00.000+01:00,Generación renovable,8745
3,487.627,1.0,2020-04-01T00:00:00.000+02:00,Generación renovable,8745
4,502.125,1.0,2020-05-01T00:00:00.000+02:00,Generación renovable,8745
5,547.9365,1.0,2020-06-01T00:00:00.000+02:00,Generación renovable,8745
6,550.373,1.0,2020-07-01T00:00:00.000+02:00,Generación renovable,8745
7,524.5300000000001,1.0,2020-08-01T00:00:00.000+02:00,Generación renovable,8745
8,519.7925,1.0,2020-09-01T00:00:00.000+02:00,Generación renovable,8745
9,582.4395,1.0,2020-10-01T00:00:00.000+02:00,Generación renovable,8745
10,523.914,1.0,2020-11-01T00:00:00.000+01:00,Generación renovable,8745
11,303.499,1.0,2020-12-01T00:00:00.000+01:00,Generación renovable,8745
